"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
20193,20193,19948,19704,17922,16772,0.01228,"Central","Beltsville","MD","Maryland","24031|24033","Montgomery County",2802,"maryland/beltsville",7.206,-76.9204,39.0399,"CDP",20
18530,18530,18438,18346,17475,17242,0.00499,"Central","Redland","MD","Maryland","24031","Montgomery County",2579,"maryland/redland",7.185,-77.1454,39.1329,"CDP",21
18424,18424,18374,18324,17034,17724,0.00272,"Central","Calverton","MD","Maryland","24031|24033","Montgomery County",4026,"maryland/calverton",4.576,-76.9509,39.0581,"CDP",22
17418,17418,17464,17412,17602,16801,-0.00263,"Central","Takoma Park","MD","Maryland","24031|24033","Montgomery County",8334,"maryland/takoma-park",2.09,-77.0023,38.9803,"City",23
17254,17254,17099,16944,16364,15086,0.00906,"Central","Adelphi","MD","Maryland","24033|24031","Prince George's County",6343,"maryland/adelphi",2.72,-76.9668,38.9971,"CDP",24
17149,17149,16891,16632,15111,13529,0.01527,"Central","Glenmont","MD","Maryland","24031","Montgomery County",6125,"maryland/glenmont",2.8,-77.0466,39.0704,"CDP",25
17111,17111,16978,16846,17105,15257,0.00783,"Central","Damascus","MD","Maryland","24031","Montgomery County",1201,"maryland/damascus",14.243,-77.1968,39.271,"CDP",26
17070,17070,15850,14631,14185,0,0.07697,"Central","Flower Hill","MD","Maryland","24031","Montgomery County",8152,"maryland/flower-hill",2.094,-77.1844,39.1684,"CDP",27
16654,16654,16545,16436,15915,15126,0.00659,"Central","Cloverly","MD","Maryland","24031|24033","Montgomery County",1655,"maryland/cloverly",10.065,-76.9948,39.1039,"CDP",28
15170,15170,15330,15489,15655,17403,-0.01044,"Central","White Oak","MD","Maryland","24031|24033","Montgomery County",4858,"maryland/white-oak",3.123,-76.9873,39.0442,"CDP",29
15143,15143,14062,12980,12391,0,0.07687,"Central","Green Valley","MD","Maryland","24021|24031|24013|24027","Frederick County",886,"maryland/green-valley",17.095,-77.2403,39.3418,"CDP",30
14354,14354,14226,14098,14812,12564,0.009,"Central","Kemp Mill","MD","Maryland","24031","Montgomery County",5721,"maryland/kemp-mill",2.509,-77.022,39.0411,"CDP",31
13547,13547,13625,13704,14397,14647,-0.00572,"Central","Colesville","MD","Maryland","24031|24033","Montgomery County",2648,"maryland/colesville",5.115,-77.0006,39.0728,"CDP",32
10648,10648,10482,10316,10812,8323,0.01584,"Central","Burtonsville","MD","Maryland","24031|24033","Montgomery County",1359,"maryland/burtonsville",7.837,-76.9367,39.1209,"CDP",33
